Ref,Val,Package,PosX,PosY,Rot,Side
C201,47p,C_0603,165.250000,-235.550000,180.000000,top
C301,0u1F,C_0603,16.000000,-140.250000,180.000000,top
C302,0u1F,CAPC1220X107,17.000000,-123.750000,90.000000,top
C303,2p,C_0603,19.250000,-100.250000,0.000000,top
C304,0u01F,C_0603,8.500000,-99.500000,270.000000,top
C305,0u1F,CAPC1220X107,23.500000,-132.000000,0.000000,top
C306,0u01F,C_0603,11.500000,-104.500000,270.000000,top
C307,0u1F,CAPC1220X107,17.250000,-84.250000,90.000000,top
C308,10p,C_0603,17.500000,-94.250000,180.000000,top
C309,10p,C_0603,17.500000,-133.750000,0.000000,top
C310,0u1F,CAPC1220X107,23.500000,-92.500000,0.000000,top
C311,10p,C_0603,20.750000,-95.750000,0.000000,top
C312,2p,C_0603,24.250000,-126.500000,90.000000,top
C313,DNP,C_0603,24.250000,-87.250000,90.000000,top
C314,0u1F,CAPC1220X107,15.000000,-104.000000,270.000000,top
C315,0u1F,CAPC1220X107,11.000000,-94.500000,90.000000,top
C401,0u1F,C_0603,36.500000,-139.750000,180.000000,top
C402,2p,C_0603,46.250000,-126.500000,270.000000,top
C403,10uF,CP_Elec_5x5.8,30.250000,-151.750000,180.000000,top
C404,0u1F,CAPC1220X107,39.000000,-123.750000,90.000000,top
C405,10uF,CP_Elec_5x5.8,21.000000,-151.750000,0.000000,top
C406,0u1F,CAPC1220X107,45.500000,-132.000000,180.000000,top
C407,2p,C_0603,41.000000,-120.250000,180.000000,top
C408,0u1F,C_0603,29.250000,-99.500000,90.000000,top
C409,0u1F,C_0603,32.500000,-104.500000,90.000000,top
C410,0u1F,CAPC1220X107,39.250000,-104.250000,90.000000,top
C411,2p,C_0603,46.250000,-107.000000,270.000000,top
C412,10p,C_0603,39.500000,-95.750000,180.000000,top
C413,0u1F,CAPC1220X107,45.500000,-112.250000,180.000000,top
C414,10p,C_0603,39.500000,-118.750000,0.000000,top
C415,27p,C_0603,39.500000,-115.750000,180.000000,top
C416,0u1F,CAPC1220X107,39.250000,-84.250000,90.000000,top
C417,27p,C_0603,39.500000,-138.250000,0.000000,top
C418,10p,C_0603,39.500000,-135.250000,180.000000,top
C419,47p,C_0603,46.250000,-87.250000,270.000000,top
C420,0u1F,CAPC1220X107,45.500000,-92.500000,180.000000,top
C421,10p,C_0603,42.500000,-95.750000,0.000000,top
C422,10p,C_0603,42.500000,-115.750000,0.000000,top
C423,2p,C_0603,41.000000,-100.250000,180.000000,top
C424,0u1F,CAPC1220X107,32.000000,-94.500000,90.000000,top
C425,0u1F,CAPC1220X107,35.750000,-102.750000,90.000000,top
C501,4u7F,C_1206,35.250000,-171.800000,180.000000,top
C502,DNP,C_0603,35.750000,-162.500000,180.000000,top
C504,4u7F,C_1206,38.500000,-160.500000,0.000000,top
C506,1nF,C_0603,35.050000,-169.250000,180.000000,top
C601,4u7F,C_1206,24.000000,-171.250000,180.000000,top
C602,4u7F,C_1206,24.000000,-161.500000,180.000000,top
C603,33nF,C_0603,24.250000,-163.750000,180.000000,top
C701,47p,C_0603,169.500000,-235.550000,180.000000,top
C801,0u1F,C_0603,59.000000,-140.250000,180.000000,top
C802,0u1F,CAPC1220X107,60.000000,-123.750000,90.000000,top
C803,2p,C_0603,62.250000,-100.250000,0.000000,top
C804,0u01F,C_0603,51.500000,-99.500000,270.000000,top
C805,0u1F,CAPC1220X107,66.500000,-132.000000,0.000000,top
C806,0u01F,C_0603,54.500000,-104.500000,270.000000,top
C807,0u1F,CAPC1220X107,60.250000,-84.250000,90.000000,top
C808,10p,C_0603,60.500000,-94.250000,180.000000,top
C809,10p,C_0603,60.500000,-133.750000,0.000000,top
C810,0u1F,CAPC1220X107,66.500000,-92.500000,0.000000,top
C811,10p,C_0603,63.750000,-95.750000,0.000000,top
C812,2p,C_0603,67.250000,-126.500000,90.000000,top
C813,DNP,C_0603,67.250000,-87.250000,90.000000,top
C814,0u1F,CAPC1220X107,58.000000,-104.000000,270.000000,top
C815,0u1F,CAPC1220X107,54.000000,-94.500000,90.000000,top
C901,0u1F,C_0603,79.500000,-139.750000,180.000000,top
C902,2p,C_0603,89.250000,-126.500000,270.000000,top
C903,10uF,CP_Elec_5x5.8,73.250000,-151.750000,180.000000,top
C904,0u1F,CAPC1220X107,82.000000,-123.750000,90.000000,top
C905,10uF,CP_Elec_5x5.8,64.000000,-151.750000,0.000000,top
C906,0u1F,CAPC1220X107,88.500000,-132.000000,180.000000,top
C907,2p,C_0603,84.000000,-120.250000,180.000000,top
C908,0u1F,C_0603,72.250000,-99.500000,90.000000,top
C909,0u1F,C_0603,75.500000,-104.500000,90.000000,top
C910,0u1F,CAPC1220X107,82.250000,-104.250000,90.000000,top
C911,2p,C_0603,89.250000,-107.000000,270.000000,top
C912,10p,C_0603,82.500000,-95.750000,180.000000,top
C913,0u1F,CAPC1220X107,88.500000,-112.250000,180.000000,top
C914,10p,C_0603,82.500000,-118.750000,0.000000,top
C915,27p,C_0603,82.500000,-115.750000,180.000000,top
C916,0u1F,CAPC1220X107,82.250000,-84.250000,90.000000,top
C917,27p,C_0603,82.500000,-138.250000,0.000000,top
C918,10p,C_0603,82.500000,-135.250000,180.000000,top
C919,47p,C_0603,89.250000,-87.250000,270.000000,top
C920,0u1F,CAPC1220X107,88.500000,-92.500000,180.000000,top
C921,10p,C_0603,85.500000,-95.750000,0.000000,top
C922,10p,C_0603,85.500000,-115.750000,0.000000,top
C923,2p,C_0603,84.000000,-100.250000,180.000000,top
C924,0u1F,CAPC1220X107,75.000000,-94.500000,90.000000,top
C925,0u1F,CAPC1220X107,78.750000,-102.750000,90.000000,top
C1001,4u7F,C_1206,78.200000,-171.800000,180.000000,top
C1002,DNP,C_0603,78.750000,-162.500000,180.000000,top
C1004,4u7F,C_1206,81.500000,-160.500000,0.000000,top
C1006,1nF,C_0603,78.100000,-169.250000,180.000000,top
C1101,4u7F,C_1206,67.100000,-171.200000,180.000000,top
C1102,4u7F,C_1206,67.000000,-161.500000,180.000000,top
C1103,33nF,C_0603,67.250000,-163.750000,180.000000,top
C1201,47p,C_0603,173.500000,-235.550000,180.000000,top
C1301,0u1F,C_0603,102.000000,-140.250000,180.000000,top
C1302,0u1F,CAPC1220X107,103.000000,-123.750000,90.000000,top
C1303,2p,C_0603,105.250000,-100.250000,0.000000,top
C1304,0u01F,C_0603,94.500000,-99.500000,270.000000,top
C1305,0u1F,CAPC1220X107,109.500000,-132.000000,0.000000,top
C1306,0u01F,C_0603,97.500000,-104.500000,270.000000,top
C1307,0u1F,CAPC1220X107,103.250000,-84.250000,90.000000,top
C1308,10p,C_0603,103.500000,-94.250000,180.000000,top
C1309,10p,C_0603,103.500000,-133.750000,0.000000,top
C1310,0u1F,CAPC1220X107,109.500000,-92.500000,0.000000,top
C1311,10p,C_0603,106.750000,-95.750000,0.000000,top
C1312,2p,C_0603,110.250000,-126.500000,90.000000,top
C1313,DNP,C_0603,110.250000,-87.250000,90.000000,top
C1314,0u1F,CAPC1220X107,101.000000,-104.000000,270.000000,top
C1315,0u1F,CAPC1220X107,97.000000,-94.500000,90.000000,top
C1401,0u1F,C_0603,122.500000,-139.750000,180.000000,top
C1402,2p,C_0603,132.250000,-126.500000,270.000000,top
C1403,10uF,CP_Elec_5x5.8,116.250000,-151.750000,180.000000,top
C1404,0u1F,CAPC1220X107,125.000000,-123.750000,90.000000,top
C1405,10uF,CP_Elec_5x5.8,107.000000,-151.750000,0.000000,top
C1406,0u1F,CAPC1220X107,131.500000,-132.000000,180.000000,top
C1407,2p,C_0603,127.000000,-120.250000,180.000000,top
C1408,0u1F,C_0603,115.250000,-99.500000,90.000000,top
C1409,0u1F,C_0603,118.500000,-104.500000,90.000000,top
C1410,0u1F,CAPC1220X107,125.250000,-104.250000,90.000000,top
C1411,2p,C_0603,132.250000,-107.000000,270.000000,top
C1412,10p,C_0603,125.500000,-95.750000,180.000000,top
C1413,0u1F,CAPC1220X107,131.500000,-112.250000,180.000000,top
C1414,10p,C_0603,125.500000,-118.750000,0.000000,top
C1415,27p,C_0603,125.500000,-115.750000,180.000000,top
C1416,0u1F,CAPC1220X107,125.250000,-84.250000,90.000000,top
C1417,27p,C_0603,125.500000,-138.250000,0.000000,top
C1418,10p,C_0603,125.500000,-135.250000,180.000000,top
C1419,47p,C_0603,132.250000,-87.250000,270.000000,top
C1420,0u1F,CAPC1220X107,131.500000,-92.500000,180.000000,top
C1421,10p,C_0603,128.500000,-95.750000,0.000000,top
C1422,10p,C_0603,128.500000,-115.750000,0.000000,top
C1423,2p,C_0603,127.000000,-100.250000,180.000000,top
C1424,0u1F,CAPC1220X107,118.000000,-94.500000,90.000000,top
C1425,0u1F,CAPC1220X107,121.750000,-102.750000,90.000000,top
C1501,4u7F,C_1206,121.200000,-171.800000,180.000000,top
C1502,DNP,C_0603,121.750000,-162.500000,180.000000,top
C1504,4u7F,C_1206,124.500000,-160.500000,0.000000,top
C1506,1nF,C_0603,121.100000,-169.250000,180.000000,top
C1601,4u7F,C_1206,110.100000,-171.200000,180.000000,top
C1602,4u7F,C_1206,110.000000,-161.500000,180.000000,top
C1603,33nF,C_0603,110.250000,-163.750000,180.000000,top
C1701,47p,C_0603,177.750000,-235.550000,180.000000,top
C1801,0u1F,C_0603,145.000000,-140.250000,180.000000,top
C1802,0u1F,CAPC1220X107,146.000000,-123.750000,90.000000,top
C1803,2p,C_0603,148.250000,-100.250000,0.000000,top
C1804,0u01F,C_0603,137.500000,-99.500000,270.000000,top
C1805,0u1F,CAPC1220X107,152.500000,-132.000000,0.000000,top
C1806,0u01F,C_0603,140.500000,-104.500000,270.000000,top
C1807,0u1F,CAPC1220X107,146.250000,-84.250000,90.000000,top
C1808,10p,C_0603,146.500000,-94.250000,180.000000,top
C1809,10p,C_0603,146.500000,-133.750000,0.000000,top
C1810,0u1F,CAPC1220X107,152.500000,-92.500000,0.000000,top
C1811,10p,C_0603,149.750000,-95.750000,0.000000,top
C1812,2p,C_0603,153.250000,-126.500000,90.000000,top
C1813,DNP,C_0603,153.250000,-87.250000,90.000000,top
C1814,0u1F,CAPC1220X107,144.000000,-104.000000,270.000000,top
C1815,0u1F,CAPC1220X107,140.000000,-94.500000,90.000000,top
C1901,0u1F,C_0603,165.500000,-139.750000,180.000000,top
C1902,2p,C_0603,175.250000,-126.500000,270.000000,top
C1903,10uF,CP_Elec_5x5.8,159.250000,-151.750000,180.000000,top
C1904,0u1F,CAPC1220X107,168.000000,-123.750000,90.000000,top
C1905,10uF,CP_Elec_5x5.8,150.000000,-151.750000,0.000000,top
C1906,0u1F,CAPC1220X107,174.500000,-132.000000,180.000000,top
C1907,2p,C_0603,170.000000,-120.250000,180.000000,top
C1908,0u1F,C_0603,158.250000,-99.500000,90.000000,top
C1909,0u1F,C_0603,161.500000,-104.500000,90.000000,top
C1910,0u1F,CAPC1220X107,168.250000,-104.250000,90.000000,top
C1911,2p,C_0603,175.250000,-107.000000,270.000000,top
C1912,10p,C_0603,168.500000,-95.750000,180.000000,top
C1913,0u1F,CAPC1220X107,174.500000,-112.250000,180.000000,top
C1914,10p,C_0603,168.500000,-118.750000,0.000000,top
C1915,27p,C_0603,168.500000,-115.750000,180.000000,top
C1916,0u1F,CAPC1220X107,168.250000,-84.250000,90.000000,top
C1917,27p,C_0603,168.500000,-138.250000,0.000000,top
C1918,10p,C_0603,168.500000,-135.250000,180.000000,top
C1919,47p,C_0603,175.250000,-87.250000,270.000000,top
C1920,0u1F,CAPC1220X107,174.500000,-92.500000,180.000000,top
C1921,10p,C_0603,171.500000,-95.750000,0.000000,top
C1922,10p,C_0603,171.500000,-115.750000,0.000000,top
C1923,2p,C_0603,170.000000,-100.250000,180.000000,top
C1924,0u1F,CAPC1220X107,161.000000,-94.500000,90.000000,top
C1925,0u1F,CAPC1220X107,164.750000,-102.750000,90.000000,top
C2001,4u7F,C_1206,164.200000,-171.800000,180.000000,top
C2002,DNP,C_0603,164.750000,-162.500000,180.000000,top
C2004,4u7F,C_1206,167.500000,-160.500000,0.000000,top
C2006,1nF,C_0603,164.100000,-169.250000,180.000000,top
C2101,4u7F,C_1206,153.100000,-171.200000,180.000000,top
C2102,4u7F,C_1206,153.000000,-161.500000,180.000000,top
C2103,33nF,C_0603,153.250000,-163.750000,180.000000,top
C2201,47p,C_0603,181.750000,-235.550000,180.000000,top
C2301,0u1F,C_0603,188.000000,-140.250000,180.000000,top
C2302,0u1F,CAPC1220X107,189.000000,-123.750000,90.000000,top
C2303,2p,C_0603,191.250000,-100.250000,0.000000,top
C2304,0u01F,C_0603,180.500000,-99.500000,270.000000,top
C2305,0u1F,CAPC1220X107,195.500000,-132.000000,0.000000,top
C2306,0u01F,C_0603,183.500000,-104.500000,270.000000,top
C2307,0u1F,CAPC1220X107,189.250000,-84.250000,90.000000,top
C2308,10p,C_0603,189.500000,-94.250000,180.000000,top
C2309,10p,C_0603,189.500000,-133.750000,0.000000,top
C2310,0u1F,CAPC1220X107,195.500000,-92.500000,0.000000,top
C2311,10p,C_0603,192.750000,-95.750000,0.000000,top
C2312,2p,C_0603,196.250000,-126.500000,90.000000,top
C2313,DNP,C_0603,196.250000,-87.250000,90.000000,top
C2314,0u1F,CAPC1220X107,187.000000,-104.000000,270.000000,top
C2315,0u1F,CAPC1220X107,183.000000,-94.500000,90.000000,top
C2401,0u1F,C_0603,208.500000,-139.750000,180.000000,top
C2402,2p,C_0603,218.250000,-126.500000,270.000000,top
C2403,10uF,CP_Elec_5x5.8,202.250000,-151.750000,180.000000,top
C2404,0u1F,CAPC1220X107,211.000000,-123.750000,90.000000,top
C2405,10uF,CP_Elec_5x5.8,193.000000,-151.750000,0.000000,top
C2406,0u1F,CAPC1220X107,217.500000,-132.000000,180.000000,top
C2407,2p,C_0603,213.000000,-120.250000,180.000000,top
C2408,0u1F,C_0603,201.250000,-99.500000,90.000000,top
C2409,0u1F,C_0603,204.500000,-104.500000,90.000000,top
C2410,0u1F,CAPC1220X107,211.250000,-104.250000,90.000000,top
C2411,2p,C_0603,218.250000,-107.000000,270.000000,top
C2412,10p,C_0603,211.500000,-95.750000,180.000000,top
C2413,0u1F,CAPC1220X107,217.500000,-112.250000,180.000000,top
C2414,10p,C_0603,211.500000,-118.750000,0.000000,top
C2415,27p,C_0603,211.500000,-115.750000,180.000000,top
C2416,0u1F,CAPC1220X107,211.250000,-84.250000,90.000000,top
C2417,27p,C_0603,211.500000,-138.250000,0.000000,top
C2418,10p,C_0603,211.500000,-135.250000,180.000000,top
C2419,47p,C_0603,218.250000,-87.250000,270.000000,top
C2420,0u1F,CAPC1220X107,217.500000,-92.500000,180.000000,top
C2421,10p,C_0603,214.500000,-95.750000,0.000000,top
C2422,10p,C_0603,214.500000,-115.750000,0.000000,top
C2423,2p,C_0603,213.000000,-100.250000,180.000000,top
C2424,0u1F,CAPC1220X107,204.000000,-94.500000,90.000000,top
C2425,0u1F,CAPC1220X107,207.750000,-102.750000,90.000000,top
C2501,4u7F,C_1206,207.200000,-171.800000,180.000000,top
C2502,DNP,C_0603,207.750000,-162.500000,180.000000,top
C2504,4u7F,C_1206,210.500000,-160.500000,0.000000,top
C2506,1nF,C_0603,207.100000,-169.250000,180.000000,top
C2601,4u7F,C_1206,196.100000,-171.200000,180.000000,top
C2602,4u7F,C_1206,196.000000,-161.500000,180.000000,top
C2603,33nF,C_0603,196.250000,-163.750000,180.000000,top
C2701,47p,C_0603,186.000000,-235.550000,180.000000,top
C2801,0u1F,C_0603,231.000000,-140.250000,180.000000,top
C2802,0u1F,CAPC1220X107,232.000000,-123.750000,90.000000,top
C2803,2p,C_0603,234.250000,-100.250000,0.000000,top
C2804,0u01F,C_0603,223.500000,-99.500000,270.000000,top
C2805,0u1F,CAPC1220X107,238.500000,-132.000000,0.000000,top
C2806,0u01F,C_0603,226.500000,-104.500000,270.000000,top
C2807,0u1F,CAPC1220X107,232.250000,-84.250000,90.000000,top
C2808,10p,C_0603,232.500000,-94.250000,180.000000,top
C2809,10p,C_0603,232.500000,-133.750000,0.000000,top
C2810,0u1F,CAPC1220X107,238.500000,-92.500000,0.000000,top
C2811,10p,C_0603,235.750000,-95.750000,0.000000,top
C2812,2p,C_0603,239.250000,-126.500000,90.000000,top
C2813,DNP,C_0603,239.250000,-87.250000,90.000000,top
C2814,0u1F,CAPC1220X107,230.000000,-104.000000,270.000000,top
C2815,0u1F,CAPC1220X107,226.000000,-94.500000,90.000000,top
C2901,0u1F,C_0603,251.500000,-139.750000,180.000000,top
C2902,2p,C_0603,261.250000,-126.500000,270.000000,top
C2903,10uF,CP_Elec_5x5.8,245.250000,-151.750000,180.000000,top
C2904,0u1F,CAPC1220X107,254.000000,-123.750000,90.000000,top
C2905,10uF,CP_Elec_5x5.8,236.000000,-151.750000,0.000000,top
C2906,0u1F,CAPC1220X107,260.500000,-132.000000,180.000000,top
C2907,2p,C_0603,256.000000,-120.250000,180.000000,top
C2908,0u1F,C_0603,244.250000,-99.500000,90.000000,top
C2909,0u1F,C_0603,247.500000,-104.500000,90.000000,top
C2910,0u1F,CAPC1220X107,254.250000,-104.250000,90.000000,top
C2911,2p,C_0603,261.250000,-107.000000,270.000000,top
C2912,10p,C_0603,254.500000,-95.750000,180.000000,top
C2913,0u1F,CAPC1220X107,260.500000,-112.250000,180.000000,top
C2914,10p,C_0603,254.500000,-118.750000,0.000000,top
C2915,27p,C_0603,254.500000,-115.750000,180.000000,top
C2916,0u1F,CAPC1220X107,254.250000,-84.250000,90.000000,top
C2917,27p,C_0603,254.500000,-138.250000,0.000000,top
C2918,10p,C_0603,254.500000,-135.250000,180.000000,top
C2919,47p,C_0603,261.250000,-87.250000,270.000000,top
C2920,0u1F,CAPC1220X107,260.500000,-92.500000,180.000000,top
C2921,10p,C_0603,257.500000,-95.750000,0.000000,top
C2922,10p,C_0603,257.500000,-115.750000,0.000000,top
C2923,2p,C_0603,256.000000,-100.250000,180.000000,top
C2924,0u1F,CAPC1220X107,247.000000,-94.500000,90.000000,top
C2925,0u1F,CAPC1220X107,250.750000,-102.750000,90.000000,top
C3001,4u7F,C_1206,250.200000,-171.800000,180.000000,top
C3002,DNP,C_0603,250.750000,-162.500000,180.000000,top
C3004,4u7F,C_1206,253.500000,-160.500000,0.000000,top
C3006,1nF,C_0603,250.100000,-169.250000,180.000000,top
C3101,4u7F,C_1206,239.100000,-171.200000,180.000000,top
C3102,4u7F,C_1206,239.000000,-161.500000,180.000000,top
C3103,33nF,C_0603,239.250000,-163.750000,180.000000,top
C3201,47p,C_0603,190.250000,-235.550000,180.000000,top
C3301,0u1F,C_0603,274.000000,-140.250000,180.000000,top
C3302,0u1F,CAPC1220X107,275.000000,-123.750000,90.000000,top
C3303,2p,C_0603,277.250000,-100.250000,0.000000,top
C3304,0u01F,C_0603,266.500000,-99.500000,270.000000,top
C3305,0u1F,CAPC1220X107,281.500000,-132.000000,0.000000,top
C3306,0u01F,C_0603,269.500000,-104.500000,270.000000,top
C3307,0u1F,CAPC1220X107,275.250000,-84.250000,90.000000,top
C3308,10p,C_0603,275.500000,-94.250000,180.000000,top
C3309,10p,C_0603,275.500000,-133.750000,0.000000,top
C3310,0u1F,CAPC1220X107,281.500000,-92.500000,0.000000,top
C3311,10p,C_0603,278.750000,-95.750000,0.000000,top
C3312,2p,C_0603,282.250000,-126.500000,90.000000,top
C3313,DNP,C_0603,282.250000,-87.250000,90.000000,top
C3314,0u1F,CAPC1220X107,273.000000,-104.000000,270.000000,top
C3315,0u1F,CAPC1220X107,269.000000,-94.500000,90.000000,top
C3401,0u1F,C_0603,294.500000,-139.750000,180.000000,top
C3402,2p,C_0603,304.250000,-126.500000,270.000000,top
C3403,10uF,CP_Elec_5x5.8,288.250000,-151.750000,180.000000,top
C3404,0u1F,CAPC1220X107,297.000000,-123.750000,90.000000,top
C3405,10uF,CP_Elec_5x5.8,279.000000,-151.750000,0.000000,top
C3406,0u1F,CAPC1220X107,303.500000,-132.000000,180.000000,top
C3407,2p,C_0603,299.000000,-120.250000,180.000000,top
C3408,0u1F,C_0603,287.250000,-99.500000,90.000000,top
C3409,0u1F,C_0603,290.500000,-104.500000,90.000000,top
C3410,0u1F,CAPC1220X107,297.250000,-104.250000,90.000000,top
C3411,2p,C_0603,304.250000,-107.000000,270.000000,top
C3412,10p,C_0603,297.500000,-95.750000,180.000000,top
C3413,0u1F,CAPC1220X107,303.500000,-112.250000,180.000000,top
C3414,10p,C_0603,297.500000,-118.750000,0.000000,top
C3415,27p,C_0603,297.500000,-115.750000,180.000000,top
C3416,0u1F,CAPC1220X107,297.250000,-84.250000,90.000000,top
C3417,27p,C_0603,297.500000,-138.250000,0.000000,top
C3418,10p,C_0603,297.500000,-135.250000,180.000000,top
C3419,47p,C_0603,304.250000,-87.250000,270.000000,top
C3420,0u1F,CAPC1220X107,303.500000,-92.500000,180.000000,top
C3421,10p,C_0603,300.500000,-95.750000,0.000000,top
C3422,10p,C_0603,300.500000,-115.750000,0.000000,top
C3423,2p,C_0603,299.000000,-100.250000,180.000000,top
C3424,0u1F,CAPC1220X107,290.000000,-94.500000,90.000000,top
